RunTime,Database,BatchSize,Parallel,Comment,Sequence,FileName,Start,End,Duration,TotalRecords,TotalInifiniteValues
2025-04-24T12:23:24,timescaledb,1000,S,nohypertable,34,../../data/meterdata/london/block_6.csv,24/04/2025 12:18:45 +02:00,24/04/2025 12:18:49 +02:00,4000,1396512,846
2025-04-24T12:23:24,timescaledb,1000,S,nohypertable,35,../../data/meterdata/london/block_38.csv,24/04/2025 12:18:49 +02:00,24/04/2025 12:18:52 +02:00,3000,1509936,900
2025-04-24T12:23:24,timescaledb,1000,S,nohypertable,36,../../data/meterdata/london/block_10.csv,24/04/2025 12:18:52 +02:00,24/04/2025 12:18:56 +02:00,4000,1510944,864
2025-04-24T12:23:24,timescaledb,1000,S,nohypertable,37,../../data/meterdata/london/block_28.csv,24/04/2025 12:18:56 +02:00,24/04/2025 12:19:00 +02:00,4000,1714080,900
2025-04-24T12:23:24,timescaledb,1000,S,nohypertable,38,../../data/meterdata/london/block_14.csv,24/04/2025 12:19:00 +02:00,24/04/2025 12:19:04 +02:00,4000,1592736,900
2025-04-24T12:23:24,timescaledb,1000,S,nohypertable,39,../../data/meterdata/london/block_2.csv,24/04/2025 12:19:04 +02:00,24/04/2025 12:19:07 +02:00,3000,1477008,857
2025-04-24T12:23:24,timescaledb,1000,S,nohypertable,40,../../data/meterdata/london/block_3.csv,24/04/2025 12:19:07 +02:00,24/04/2025 12:19:11 +02:00,4000,1370160,846
2025-04-24T12:23:24,timescaledb,1000,S,nohypertable,41,../../data/meterdata/london/block_15.csv,24/04/2025 12:19:11 +02:00,24/04/2025 12:19:14 +02:00,3000,1569984,900
2025-04-24T12:23:24,timescaledb,1000,S,nohypertable,42,../../data/meterdata/london/block_29.csv,24/04/2025 12:19:14 +02:00,24/04/2025 12:19:18 +02:00,4000,1606896,900
2025-04-24T12:23:24,timescaledb,1000,S,nohypertable,43,../../data/meterdata/london/block_17.csv,24/04/2025 12:19:18 +02:00,24/04/2025 12:19:21 +02:00,3000,1478832,882
