Sequence,FileName,Start,End,Duration,TotalRecords,TotalInifiniteValues
49,../../data/meterdata/london/block_27.csv,24/04/2025 13:55:52 +02:00,24/04/2025 13:55:59 +02:00,7630,1594944,882
50,../../data/meterdata/london/block_26.csv,24/04/2025 13:55:59 +02:00,24/04/2025 13:56:06 +02:00,6752,1428432,900
51,../../data/meterdata/london/block_32.csv,24/04/2025 13:56:06 +02:00,24/04/2025 13:56:13 +02:00,7194,1491120,882
52,../../data/meterdata/london/block_100.csv,24/04/2025 13:56:13 +02:00,24/04/2025 13:56:21 +02:00,7645,1508160,882
53,../../data/meterdata/london/block_102.csv,24/04/2025 13:56:21 +02:00,24/04/2025 13:56:28 +02:00,7401,1389600,882
54,../../data/meterdata/london/block_24.csv,24/04/2025 13:56:28 +02:00,24/04/2025 13:56:36 +02:00,7959,1553808,900
55,../../data/meterdata/london/block_30.csv,24/04/2025 13:56:36 +02:00,24/04/2025 13:56:44 +02:00,7945,1660224,900
56,../../data/meterdata/london/block_18.csv,24/04/2025 13:56:44 +02:00,24/04/2025 13:56:52 +02:00,7649,1511712,900
57,../../data/meterdata/london/block_19.csv,24/04/2025 13:56:52 +02:00,24/04/2025 13:57:00 +02:00,8154,1568688,892
58,../../data/meterdata/london/block_31.csv,24/04/2025 13:57:00 +02:00,24/04/2025 13:57:07 +02:00,7429,1530576,900
59,../../data/meterdata/london/block_25.csv,24/04/2025 13:57:07 +02:00,24/04/2025 13:57:15 +02:00,7600,1534608,900
60,../../data/meterdata/london/block_103.csv,24/04/2025 13:57:15 +02:00,24/04/2025 13:57:23 +02:00,7597,1520208,905
61,../../data/meterdata/london/block_107.csv,24/04/2025 13:57:23 +02:00,24/04/2025 13:57:30 +02:00,7262,1478880,900
62,../../data/meterdata/london/block_21.csv,24/04/2025 13:57:30 +02:00,24/04/2025 13:57:38 +02:00,8527,1621392,900
63,../../data/meterdata/london/block_35.csv,24/04/2025 13:57:38 +02:00,24/04/2025 13:57:46 +02:00,7923,1515600,900
