Sequence,FileName,Start,End,Duration,TotalRecords,TotalInifiniteValues
50,../../data/meterdata/london/block_26.csv,24/04/2025 12:37:05 +02:00,24/04/2025 12:37:20 +02:00,338,1428432,900
51,../../data/meterdata/london/block_32.csv,24/04/2025 12:37:20 +02:00,24/04/2025 12:37:39 +02:00,809,1491120,882
52,../../data/meterdata/london/block_100.csv,24/04/2025 12:37:39 +02:00,24/04/2025 12:37:56 +02:00,9,1508160,882
53,../../data/meterdata/london/block_102.csv,24/04/2025 12:37:56 +02:00,24/04/2025 12:38:14 +02:00,239,1389600,882
54,../../data/meterdata/london/block_24.csv,24/04/2025 12:38:14 +02:00,24/04/2025 12:38:33 +02:00,794,1553808,900
55,../../data/meterdata/london/block_30.csv,24/04/2025 12:38:33 +02:00,24/04/2025 12:38:53 +02:00,832,1660224,900
56,../../data/meterdata/london/block_18.csv,24/04/2025 12:38:53 +02:00,24/04/2025 12:39:13 +02:00,974,1511712,900
57,../../data/meterdata/london/block_19.csv,24/04/2025 12:39:13 +02:00,24/04/2025 12:39:34 +02:00,846,1568688,892
58,../../data/meterdata/london/block_31.csv,24/04/2025 12:39:34 +02:00,24/04/2025 12:39:55 +02:00,270,1530576,900
59,../../data/meterdata/london/block_25.csv,24/04/2025 12:39:55 +02:00,24/04/2025 12:40:17 +02:00,256,1534608,900
60,../../data/meterdata/london/block_103.csv,24/04/2025 12:40:17 +02:00,24/04/2025 12:40:37 +02:00,784,1520208,905
61,../../data/meterdata/london/block_107.csv,24/04/2025 12:40:37 +02:00,24/04/2025 12:40:58 +02:00,151,1478880,900
62,../../data/meterdata/london/block_21.csv,24/04/2025 12:40:58 +02:00,24/04/2025 12:41:24 +02:00,503,1621392,900
63,../../data/meterdata/london/block_35.csv,24/04/2025 12:41:24 +02:00,24/04/2025 12:41:47 +02:00,80,1515600,900
64,../../data/meterdata/london/block_34.csv,24/04/2025 12:41:47 +02:00,24/04/2025 12:42:10 +02:00,517,1509696,882
65,../../data/meterdata/london/block_20.csv,24/04/2025 12:42:10 +02:00,24/04/2025 12:42:31 +02:00,25,1718448,905
66,../../data/meterdata/london/block_106.csv,24/04/2025 12:42:31 +02:00,24/04/2025 12:42:52 +02:00,183,1477440,900
67,../../data/meterdata/london/block_110.csv,24/04/2025 12:42:52 +02:00,24/04/2025 12:43:12 +02:00,133,1419024,902
68,../../data/meterdata/london/block_104.csv,24/04/2025 12:43:12 +02:00,24/04/2025 12:43:34 +02:00,510,1555056,900
69,../../data/meterdata/london/block_36.csv,24/04/2025 12:43:34 +02:00,24/04/2025 12:43:56 +02:00,491,1524912,882
70,../../data/meterdata/london/block_22.csv,24/04/2025 12:43:56 +02:00,24/04/2025 12:44:17 +02:00,620,1583664,882
71,../../data/meterdata/london/block_8.csv,24/04/2025 12:44:17 +02:00,24/04/2025 12:44:39 +02:00,4,1560144,882
72,../../data/meterdata/london/block_9.csv,24/04/2025 12:44:39 +02:00,24/04/2025 12:45:06 +02:00,503,1563072,900
73,../../data/meterdata/london/block_23.csv,24/04/2025 12:45:06 +02:00,24/04/2025 12:45:28 +02:00,175,1417296,900
74,../../data/meterdata/london/block_37.csv,24/04/2025 12:45:28 +02:00,24/04/2025 12:45:53 +02:00,513,1509888,900
75,../../data/meterdata/london/block_105.csv,24/04/2025 12:45:53 +02:00,24/04/2025 12:46:18 +02:00,51,1517088,900
76,../../data/meterdata/london/block_111.csv,24/04/2025 12:46:18 +02:00,24/04/2025 12:46:25 +02:00,975,467520,288
77,../../data/meterdata/london/block_93.csv,24/04/2025 12:46:25 +02:00,24/04/2025 12:46:51 +02:00,177,1600032,900
78,../../data/meterdata/london/block_87.csv,24/04/2025 12:46:51 +02:00,24/04/2025 12:47:15 +02:00,705,1509600,869
79,../../data/meterdata/london/block_50.csv,24/04/2025 12:47:15 +02:00,24/04/2025 12:47:41 +02:00,615,1535520,864
