Sequence,FileName,Start,End,Duration,TotalRecords,TotalInifiniteValues
50,../../data/meterdata/london/block_26.csv,24/04/2025 11:13:55 +02:00,24/04/2025 11:13:56 +02:00,223,1428432,900
51,../../data/meterdata/london/block_32.csv,24/04/2025 11:13:56 +02:00,24/04/2025 11:13:57 +02:00,280,1491120,882
52,../../data/meterdata/london/block_100.csv,24/04/2025 11:13:57 +02:00,24/04/2025 11:13:59 +02:00,284,1508160,882
53,../../data/meterdata/london/block_102.csv,24/04/2025 11:13:59 +02:00,24/04/2025 11:14:00 +02:00,186,1389600,882
54,../../data/meterdata/london/block_24.csv,24/04/2025 11:14:00 +02:00,24/04/2025 11:14:01 +02:00,305,1553808,900
55,../../data/meterdata/london/block_30.csv,24/04/2025 11:14:01 +02:00,24/04/2025 11:14:02 +02:00,395,1660224,900
56,../../data/meterdata/london/block_18.csv,24/04/2025 11:14:02 +02:00,24/04/2025 11:14:04 +02:00,272,1511712,900
57,../../data/meterdata/london/block_19.csv,24/04/2025 11:14:04 +02:00,24/04/2025 11:14:05 +02:00,334,1568688,892
58,../../data/meterdata/london/block_31.csv,24/04/2025 11:14:05 +02:00,24/04/2025 11:14:06 +02:00,294,1530576,900
59,../../data/meterdata/london/block_25.csv,24/04/2025 11:14:06 +02:00,24/04/2025 11:14:08 +02:00,311,1534608,900
60,../../data/meterdata/london/block_103.csv,24/04/2025 11:14:08 +02:00,24/04/2025 11:14:09 +02:00,291,1520208,905
61,../../data/meterdata/london/block_107.csv,24/04/2025 11:14:09 +02:00,24/04/2025 11:14:10 +02:00,268,1478880,900
62,../../data/meterdata/london/block_21.csv,24/04/2025 11:14:10 +02:00,24/04/2025 11:14:12 +02:00,364,1621392,900
63,../../data/meterdata/london/block_35.csv,24/04/2025 11:14:12 +02:00,24/04/2025 11:14:13 +02:00,272,1515600,900
64,../../data/meterdata/london/block_34.csv,24/04/2025 11:14:13 +02:00,24/04/2025 11:14:14 +02:00,270,1509696,882
65,../../data/meterdata/london/block_20.csv,24/04/2025 11:14:14 +02:00,24/04/2025 11:14:16 +02:00,456,1718448,905
66,../../data/meterdata/london/block_106.csv,24/04/2025 11:14:16 +02:00,24/04/2025 11:14:17 +02:00,242,1477440,900
67,../../data/meterdata/london/block_110.csv,24/04/2025 11:14:17 +02:00,24/04/2025 11:14:18 +02:00,183,1419024,902
68,../../data/meterdata/london/block_104.csv,24/04/2025 11:14:18 +02:00,24/04/2025 11:14:19 +02:00,310,1555056,900
69,../../data/meterdata/london/block_36.csv,24/04/2025 11:14:19 +02:00,24/04/2025 11:14:21 +02:00,277,1524912,882
70,../../data/meterdata/london/block_22.csv,24/04/2025 11:14:21 +02:00,24/04/2025 11:14:22 +02:00,340,1583664,882
71,../../data/meterdata/london/block_8.csv,24/04/2025 11:14:22 +02:00,24/04/2025 11:14:23 +02:00,313,1560144,882
