Sequence,FileName,Start,End,Duration,TotalRecords,TotalInifiniteValues
49,../../data/meterdata/london/block_27.csv,24/04/2025 16:51:09 +02:00,24/04/2025 16:51:14 +02:00,5145,1594944,882
50,../../data/meterdata/london/block_26.csv,24/04/2025 16:51:14 +02:00,24/04/2025 16:51:19 +02:00,4936,1428432,900
51,../../data/meterdata/london/block_32.csv,24/04/2025 16:51:19 +02:00,24/04/2025 16:51:24 +02:00,4837,1491120,882
52,../../data/meterdata/london/block_100.csv,24/04/2025 16:51:24 +02:00,24/04/2025 16:51:29 +02:00,5050,1508160,882
53,../../data/meterdata/london/block_102.csv,24/04/2025 16:51:29 +02:00,24/04/2025 16:51:33 +02:00,4590,1389600,882
54,../../data/meterdata/london/block_24.csv,24/04/2025 16:51:33 +02:00,24/04/2025 16:51:39 +02:00,5225,1553808,900
55,../../data/meterdata/london/block_30.csv,24/04/2025 16:51:39 +02:00,24/04/2025 16:51:44 +02:00,5481,1660224,900
56,../../data/meterdata/london/block_18.csv,24/04/2025 16:51:44 +02:00,24/04/2025 16:51:49 +02:00,5378,1511712,900
57,../../data/meterdata/london/block_19.csv,24/04/2025 16:51:49 +02:00,24/04/2025 16:51:55 +02:00,5055,1568688,892
58,../../data/meterdata/london/block_31.csv,24/04/2025 16:51:55 +02:00,24/04/2025 16:52:00 +02:00,5565,1530576,900
59,../../data/meterdata/london/block_25.csv,24/04/2025 16:52:00 +02:00,24/04/2025 16:52:05 +02:00,5325,1534608,900
60,../../data/meterdata/london/block_103.csv,24/04/2025 16:52:05 +02:00,24/04/2025 16:52:11 +02:00,5330,1520208,905
61,../../data/meterdata/london/block_107.csv,24/04/2025 16:52:11 +02:00,24/04/2025 16:52:16 +02:00,5093,1478880,900
62,../../data/meterdata/london/block_21.csv,24/04/2025 16:52:16 +02:00,24/04/2025 16:52:21 +02:00,5443,1621392,900
63,../../data/meterdata/london/block_35.csv,24/04/2025 16:52:21 +02:00,24/04/2025 16:52:27 +02:00,5496,1515600,900
64,../../data/meterdata/london/block_34.csv,24/04/2025 16:52:27 +02:00,24/04/2025 16:52:32 +02:00,5177,1509696,882
