Sequence,FileName,Start,End,Duration,TotalRecords,TotalInifiniteValues
49,../../data/meterdata/london/block_27.csv,24/04/2025 13:39:13 +02:00,24/04/2025 13:39:23 +02:00,10455,1594944,882
50,../../data/meterdata/london/block_26.csv,24/04/2025 13:39:23 +02:00,24/04/2025 13:39:32 +02:00,8511,1428432,900
51,../../data/meterdata/london/block_32.csv,24/04/2025 13:39:32 +02:00,24/04/2025 13:39:41 +02:00,8664,1491120,882
52,../../data/meterdata/london/block_100.csv,24/04/2025 13:39:41 +02:00,24/04/2025 13:39:50 +02:00,9189,1508160,882
53,../../data/meterdata/london/block_102.csv,24/04/2025 13:39:50 +02:00,24/04/2025 13:39:59 +02:00,8738,1389600,882
54,../../data/meterdata/london/block_24.csv,24/04/2025 13:39:59 +02:00,24/04/2025 13:40:09 +02:00,9959,1553808,900
55,../../data/meterdata/london/block_30.csv,24/04/2025 13:40:09 +02:00,24/04/2025 13:40:20 +02:00,10995,1660224,900
56,../../data/meterdata/london/block_18.csv,24/04/2025 13:40:20 +02:00,24/04/2025 13:40:28 +02:00,8833,1511712,900
57,../../data/meterdata/london/block_19.csv,24/04/2025 13:40:28 +02:00,24/04/2025 13:40:38 +02:00,9734,1568688,892
58,../../data/meterdata/london/block_31.csv,24/04/2025 13:40:38 +02:00,24/04/2025 13:40:48 +02:00,10347,1530576,900
59,../../data/meterdata/london/block_25.csv,24/04/2025 13:40:48 +02:00,24/04/2025 13:40:58 +02:00,9173,1534608,900
60,../../data/meterdata/london/block_103.csv,24/04/2025 13:40:58 +02:00,24/04/2025 13:41:07 +02:00,9427,1520208,905
61,../../data/meterdata/london/block_107.csv,24/04/2025 13:41:07 +02:00,24/04/2025 13:41:16 +02:00,9264,1478880,900
62,../../data/meterdata/london/block_21.csv,24/04/2025 13:41:16 +02:00,24/04/2025 13:41:26 +02:00,9775,1621392,900
63,../../data/meterdata/london/block_35.csv,24/04/2025 13:41:26 +02:00,24/04/2025 13:41:35 +02:00,8524,1515600,900
64,../../data/meterdata/london/block_34.csv,24/04/2025 13:41:35 +02:00,24/04/2025 13:41:43 +02:00,8727,1509696,882
65,../../data/meterdata/london/block_20.csv,24/04/2025 13:41:43 +02:00,24/04/2025 13:41:53 +02:00,9407,1718448,905
66,../../data/meterdata/london/block_106.csv,24/04/2025 13:41:53 +02:00,24/04/2025 13:42:02 +02:00,8981,1477440,900
67,../../data/meterdata/london/block_110.csv,24/04/2025 13:42:02 +02:00,24/04/2025 13:42:10 +02:00,8763,1419024,902
68,../../data/meterdata/london/block_104.csv,24/04/2025 13:42:10 +02:00,24/04/2025 13:42:19 +02:00,8842,1555056,900
69,../../data/meterdata/london/block_36.csv,24/04/2025 13:42:19 +02:00,24/04/2025 13:42:28 +02:00,9143,1524912,882
70,../../data/meterdata/london/block_22.csv,24/04/2025 13:42:28 +02:00,24/04/2025 13:42:37 +02:00,8786,1583664,882
71,../../data/meterdata/london/block_8.csv,24/04/2025 13:42:37 +02:00,24/04/2025 13:42:47 +02:00,9356,1560144,882
72,../../data/meterdata/london/block_9.csv,24/04/2025 13:42:47 +02:00,24/04/2025 13:42:56 +02:00,9433,1563072,900
73,../../data/meterdata/london/block_23.csv,24/04/2025 13:42:56 +02:00,24/04/2025 13:43:05 +02:00,9223,1417296,900
74,../../data/meterdata/london/block_37.csv,24/04/2025 13:43:05 +02:00,24/04/2025 13:43:14 +02:00,8867,1509888,900
75,../../data/meterdata/london/block_105.csv,24/04/2025 13:43:14 +02:00,24/04/2025 13:43:23 +02:00,8722,1517088,900
76,../../data/meterdata/london/block_111.csv,24/04/2025 13:43:23 +02:00,24/04/2025 13:43:25 +02:00,2561,467520,288
77,../../data/meterdata/london/block_93.csv,24/04/2025 13:43:25 +02:00,24/04/2025 13:43:36 +02:00,10294,1600032,900
78,../../data/meterdata/london/block_87.csv,24/04/2025 13:43:36 +02:00,24/04/2025 13:43:44 +02:00,8294,1509600,869
79,../../data/meterdata/london/block_50.csv,24/04/2025 13:43:44 +02:00,24/04/2025 13:43:53 +02:00,9012,1535520,864
