Sequence,FileName,Start,End,Duration,TotalRecords,TotalInifiniteValues
50,../../data/meterdata/london/block_27.csv,24/04/2025 11:24:42 +02:00,24/04/2025 11:24:46 +02:00,304,1594944,882
51,../../data/meterdata/london/block_33.csv,24/04/2025 11:24:42 +02:00,24/04/2025 11:24:46 +02:00,367,1567392,905
52,../../data/meterdata/london/block_100.csv,24/04/2025 11:24:42 +02:00,24/04/2025 11:24:46 +02:00,3,1508160,882
53,../../data/meterdata/london/block_102.csv,24/04/2025 11:24:42 +02:00,24/04/2025 11:24:46 +02:00,736,1389600,882
54,../../data/meterdata/london/block_24.csv,24/04/2025 11:24:43 +02:00,24/04/2025 11:24:47 +02:00,143,1553808,900
55,../../data/meterdata/london/block_18.csv,24/04/2025 11:24:43 +02:00,24/04/2025 11:24:47 +02:00,992,1511712,900
56,../../data/meterdata/london/block_30.csv,24/04/2025 11:24:43 +02:00,24/04/2025 11:24:47 +02:00,281,1660224,900
57,../../data/meterdata/london/block_19.csv,24/04/2025 11:24:45 +02:00,24/04/2025 11:24:48 +02:00,708,1568688,892
58,../../data/meterdata/london/block_31.csv,24/04/2025 11:24:45 +02:00,24/04/2025 11:24:49 +02:00,673,1530576,900
59,../../data/meterdata/london/block_25.csv,24/04/2025 11:24:45 +02:00,24/04/2025 11:24:49 +02:00,716,1534608,900
60,../../data/meterdata/london/block_103.csv,24/04/2025 11:24:45 +02:00,24/04/2025 11:24:49 +02:00,817,1520208,905
61,../../data/meterdata/london/block_107.csv,24/04/2025 11:24:45 +02:00,24/04/2025 11:24:49 +02:00,740,1478880,900
62,../../data/meterdata/london/block_110.csv,24/04/2025 11:24:46 +02:00,24/04/2025 11:24:49 +02:00,259,1419024,902
63,../../data/meterdata/london/block_35.csv,24/04/2025 11:24:46 +02:00,24/04/2025 11:24:50 +02:00,681,1515600,900
64,../../data/meterdata/london/block_106.csv,24/04/2025 11:24:46 +02:00,24/04/2025 11:24:50 +02:00,558,1477440,900
65,../../data/meterdata/london/block_34.csv,24/04/2025 11:24:46 +02:00,24/04/2025 11:24:50 +02:00,717,1509696,882
66,../../data/meterdata/london/block_21.csv,24/04/2025 11:24:46 +02:00,24/04/2025 11:24:50 +02:00,131,1621392,900
67,../../data/meterdata/london/block_20.csv,24/04/2025 11:24:46 +02:00,24/04/2025 11:24:50 +02:00,218,1718448,905
68,../../data/meterdata/london/block_104.csv,24/04/2025 11:24:47 +02:00,24/04/2025 11:24:50 +02:00,685,1555056,900
69,../../data/meterdata/london/block_36.csv,24/04/2025 11:24:47 +02:00,24/04/2025 11:24:50 +02:00,629,1524912,882
70,../../data/meterdata/london/block_111.csv,24/04/2025 11:24:49 +02:00,24/04/2025 11:24:51 +02:00,108,467520,288
71,../../data/meterdata/london/block_22.csv,24/04/2025 11:24:47 +02:00,24/04/2025 11:24:51 +02:00,920,1583664,882
72,../../data/meterdata/london/block_8.csv,24/04/2025 11:24:48 +02:00,24/04/2025 11:24:52 +02:00,800,1560144,882
73,../../data/meterdata/london/block_23.csv,24/04/2025 11:24:49 +02:00,24/04/2025 11:24:53 +02:00,637,1417296,900
74,../../data/meterdata/london/block_9.csv,24/04/2025 11:24:49 +02:00,24/04/2025 11:24:53 +02:00,16,1563072,900
75,../../data/meterdata/london/block_105.csv,24/04/2025 11:24:49 +02:00,24/04/2025 11:24:53 +02:00,800,1517088,900
76,../../data/meterdata/london/block_37.csv,24/04/2025 11:24:49 +02:00,24/04/2025 11:24:53 +02:00,902,1509888,900
77,../../data/meterdata/london/block_87.csv,24/04/2025 11:24:50 +02:00,24/04/2025 11:24:53 +02:00,715,1509600,869
78,../../data/meterdata/london/block_50.csv,24/04/2025 11:24:50 +02:00,24/04/2025 11:24:53 +02:00,762,1535520,864
79,../../data/meterdata/london/block_93.csv,24/04/2025 11:24:50 +02:00,24/04/2025 11:24:54 +02:00,11,1600032,900
80,../../data/meterdata/london/block_79.csv,24/04/2025 11:24:50 +02:00,24/04/2025 11:24:54 +02:00,491,1437408,910
81,../../data/meterdata/london/block_44.csv,24/04/2025 11:24:50 +02:00,24/04/2025 11:24:54 +02:00,418,1604160,900
82,../../data/meterdata/london/block_78.csv,24/04/2025 11:24:50 +02:00,24/04/2025 11:24:54 +02:00,122,1469520,900
83,../../data/meterdata/london/block_86.csv,24/04/2025 11:24:51 +02:00,24/04/2025 11:24:55 +02:00,749,1392288,882
84,../../data/meterdata/london/block_45.csv,24/04/2025 11:24:50 +02:00,24/04/2025 11:24:55 +02:00,392,1576512,882
85,../../data/meterdata/london/block_51.csv,24/04/2025 11:24:51 +02:00,24/04/2025 11:24:55 +02:00,244,1566624,900
86,../../data/meterdata/london/block_84.csv,24/04/2025 11:24:53 +02:00,24/04/2025 11:24:56 +02:00,454,1351584,882
87,../../data/meterdata/london/block_92.csv,24/04/2025 11:24:52 +02:00,24/04/2025 11:24:57 +02:00,282,1543728,882
88,../../data/meterdata/london/block_90.csv,24/04/2025 11:24:53 +02:00,24/04/2025 11:24:57 +02:00,91,1425312,882
89,../../data/meterdata/london/block_53.csv,24/04/2025 11:24:53 +02:00,24/04/2025 11:24:57 +02:00,240,1473552,905
90,../../data/meterdata/london/block_47.csv,24/04/2025 11:24:53 +02:00,24/04/2025 11:24:57 +02:00,571,1684608,900
91,../../data/meterdata/london/block_91.csv,24/04/2025 11:24:54 +02:00,24/04/2025 11:24:58 +02:00,982,1425984,887
92,../../data/meterdata/london/block_52.csv,24/04/2025 11:24:53 +02:00,24/04/2025 11:24:58 +02:00,162,1501536,882
93,../../data/meterdata/london/block_81.csv,24/04/2025 11:24:54 +02:00,24/04/2025 11:24:58 +02:00,372,1337952,882
94,../../data/meterdata/london/block_85.csv,24/04/2025 11:24:54 +02:00,24/04/2025 11:24:58 +02:00,621,1408080,828
95,../../data/meterdata/london/block_46.csv,24/04/2025 11:24:53 +02:00,24/04/2025 11:24:58 +02:00,534,1633872,882
96,../../data/meterdata/london/block_95.csv,24/04/2025 11:24:54 +02:00,24/04/2025 11:24:58 +02:00,946,1530720,910
97,../../data/meterdata/london/block_42.csv,24/04/2025 11:24:55 +02:00,24/04/2025 11:24:59 +02:00,891,1534080,900
98,../../data/meterdata/london/block_56.csv,24/04/2025 11:24:55 +02:00,24/04/2025 11:24:59 +02:00,12,1514448,900
99,../../data/meterdata/london/block_57.csv,24/04/2025 11:24:55 +02:00,24/04/2025 11:24:59 +02:00,957,1494432,864
100,../../data/meterdata/london/block_43.csv,24/04/2025 11:24:56 +02:00,24/04/2025 11:25:00 +02:00,580,1525056,900
101,../../data/meterdata/london/block_80.csv,24/04/2025 11:24:57 +02:00,24/04/2025 11:25:00 +02:00,590,1393968,864
102,../../data/meterdata/london/block_94.csv,24/04/2025 11:24:57 +02:00,24/04/2025 11:25:01 +02:00,996,1605216,900
103,../../data/meterdata/london/block_69.csv,24/04/2025 11:24:58 +02:00,24/04/2025 11:25:01 +02:00,344,1347168,900
104,../../data/meterdata/london/block_82.csv,24/04/2025 11:24:57 +02:00,24/04/2025 11:25:01 +02:00,457,1356192,900
105,../../data/meterdata/london/block_96.csv,24/04/2025 11:24:57 +02:00,24/04/2025 11:25:01 +02:00,790,1545456,905
106,../../data/meterdata/london/block_55.csv,24/04/2025 11:24:58 +02:00,24/04/2025 11:25:01 +02:00,511,1462800,900
107,../../data/meterdata/london/block_41.csv,24/04/2025 11:24:58 +02:00,24/04/2025 11:25:01 +02:00,446,1490496,882
108,../../data/meterdata/london/block_40.csv,24/04/2025 11:24:58 +02:00,24/04/2025 11:25:01 +02:00,422,1515408,911
109,../../data/meterdata/london/block_54.csv,24/04/2025 11:24:58 +02:00,24/04/2025 11:25:01 +02:00,338,1504848,900
110,../../data/meterdata/london/block_68.csv,24/04/2025 11:24:58 +02:00,24/04/2025 11:25:01 +02:00,33,1424208,864
111,../../data/meterdata/london/block_83.csv,24/04/2025 11:24:59 +02:00,24/04/2025 11:25:01 +02:00,888,1425840,887
112,../../data/meterdata/london/block_97.csv,24/04/2025 11:24:59 +02:00,24/04/2025 11:25:02 +02:00,842,1535664,900
